37,1,23,4,91,10,0
23,3,23,4,83,10,0
27,2,21,3,87,5,1
31,3,23,4,88,10,0
59,8,55,16,70,8,7
40,9,62,18,94,8,9
44,5,47,10,81,10,4
60,4,42,8,76,10,2
32,5,38,6,95,8,3
56,1,21,3,75,5,1
62,9,55,16,74,8,7
53,5,38,6,79,8,3
25,8,62,18,84,8,9
56,5,47,10,82,10,4
62,3,21,3,79,5,1
60,2,23,4,82,10,0
49,3,21,3,79,5,1
63,9,62,18,87,8,9
49,1,23,4,84,10,0
26,2,23,4,70,10,0
35,9,58,14,88,7,8
53,2,21,3,92,5,1
46,10,55,16,68,8,7
34,5,38,6,93,8,3
55,10,62,18,90,8,9
34,1,21,3,82,5,1
43,4,38,6,84,8,3
48,3,23,4,90,10,0
28,4,40,10,80,5,6
55,9,58,14,81,7,8
42,8,58,14,84,7,8
56,10,55,16,92,8,7
69,3,21,3,84,5,1
28,8,55,16,87,8,7
66,4,40,10,77,5,6
44,4,38,6,92,8,3
54,5,42,8,94,10,2
62,1,23,4,85,10,0
45,8,58,14,88,7,8
47,1,21,3,73,5,1
55,5,40,10,74,5,6
25,7,62,18,84,8,9
25,5,47,10,96,10,4
50,3,23,4,78,10,0
59,7,58,14,77,7,8
43,1,23,4,86,10,0
63,8,55,16,92,8,7
51,10,55,16,80,8,7
52,5,38,6,70,8,3
29,5,43,8,79,12,5
37,5,43,8,84,12,5
54,5,42,8,70,10,2
58,5,47,10,83,10,4
35,7,55,16,82,8,7
25,10,62,18,81,8,9
35,3,23,4,91,10,0
40,3,23,4,77,10,0
29,9,62,18,85,8,9
24,3,23,4,78,10,0
54,4,43,8,86,12,5
38,8,58,14,82,7,8
39,5,43,8,75,12,5
26,4,38,6,81,8,3
53,2,23,4,74,10,0
33,5,43,8,82,12,5
40,3,21,3,83,5,1
59,2,23,4,76,10,0
39,8,55,16,100,8,7
70,3,21,3,81,5,1
51,9,62,18,87,8,9
23,3,21,3,92,5,1
46,10,62,18,80,8,9
62,3,23,4,81,10,0
45,3,21,3,81,5,1
44,10,62,18,86,8,9
56,4,42,8,89,10,2
44,4,43,8,83,12,5
40,5,43,8,75,12,5
56,4,38,6,74,8,3
34,1,21,3,88,5,1
64,7,58,14,87,7,8
59,2,23,4,79,10,0
38,4,47,10,86,10,4
30,4,43,8,84,12,5
26,5,42,8,81,10,2
27,4,42,8,81,10,2
36,7,58,14,82,7,8
69,4,43,8,88,12,5
30,9,62,18,82,8,9
54,4,38,6,71,8,3
38,10,55,16,78,8,7
39,10,55,16,78,8,7
64,5,43,8,70,12,5
31,1,21,3,81,5,1
58,10,58,14,77,7,8
40,2,21,3,81,5,1
54,5,47,10,66,10,4
51,1,23,4,77,10,0
35,4,38,6,88,8,3
59,4,40,10,87,5,6
30,1,23,4,81,10,0
41,3,21,3,72,5,1
66,3,23,4,93,10,0
46,1,21,3,80,5,1
68,10,55,16,82,8,7
39,9,55,16,84,8,7
39,8,62,18,87,8,9
45,4,47,10,66,10,4
59,7,62,18,76,8,9
51,3,23,4,85,10,0
36,5,43,8,85,12,5
28,4,38,6,92,8,3
25,5,40,10,74,5,6
28,4,38,6,80,8,3
55,2,23,4,73,10,0
44,7,55,16,89,8,7
29,4,47,10,89,10,4
34,9,58,14,74,7,8
33,8,62,18,84,8,9
59,4,40,10,72,5,6
38,1,23,4,84,10,0
56,2,21,3,81,5,1
34,9,58,14,80,7,8
57,1,21,3,81,5,1
46,7,55,16,83,8,7
29,5,47,10,86,10,4
33,5,47,10,83,10,4
62,10,55,16,87,8,7
34,2,21,3,93,5,1
45,7,55,16,76,8,7
46,3,23,4,77,10,0
55,3,23,4,76,10,0
51,8,55,16,83,8,7
33,8,55,16,88,8,7
26,2,21,3,87,5,1
52,3,21,3,73,5,1
70,10,58,14,80,7,8
52,1,21,3,72,5,1
